sku,inventory_units_on_hand,projected_average_monthly_demand,months_of_inventory_coverage,reorder_point,lead_time_days,on_hand_stock_value
19925.59227,100,165.60,0.60,130.76,21,1288.89
27362.13935,96,159.00,0.60,223.38,31,6495.48
34397.90417,160,268.40,0.60,441.30,31,3649.80
45558.36564,72748,121220.00,0.60,313815.62,66,538973.39
46476.69875,15,25.00,0.60,49.53,39,355.20
49467.87115,2633,4424.40,0.60,6473.77,32,15955.13
66650.70302,1024,1702.80,0.60,2270.34,27,6476.51
72292.61001,71,118.80,0.60,183.36,31,7988.93
78607.59891,45,74.80,0.60,127.68,28,1122.73
88245.07882,1047,1731.60,0.60,863.21,11,7557.11
93229.43546,25,41.60,0.60,57.28,28,3097.86
19299.52682,163,267.00,0.61,285.79,23,1240.94
3596.258665,1207,1985.00,0.61,6470.01,81,46040.87
38880.52514,2932,4792.80,0.61,6107.44,33,19081.23
44375.94425,11,18.00,0.61,19.60,16,225.46
46526.14142,112,183.00,0.61,227.43,22,1201.99
50321.69367,404,660.00,0.61,986.82,26,8102.84
58470.64716,23,37.80,0.61,32.08,16,1195.02
60925.83975,18,29.60,0.61,8.99,6,160.67
64810.32298,46,74.80,0.61,136.80,36,3644.89
94247.97473,11,18.00,0.61,19.19,16,231.75
95344.06909,372,607.20,0.61,1013.64,31,11473.95
97205.91371,125,205.20,0.61,244.99,25,781.73
12128.43273,39,63.00,0.62,115.74,40,1040.64
18093.39803,145,235.20,0.62,272.63,23,1588.58
27931.32597,346,554.40,0.62,800.63,23,48630.17
3168.332644,4688,7580.00,0.62,22230.20,78,35422.33
34274.56174,2191,3520.00,0.62,6326.07,33,22858.95
47004.24269,40,65.00,0.62,81.03,15,291.56
56216.19554,61,98.40,0.62,116.47,28,1110.53
93769.78771,528,849.00,0.62,1015.84,23,14643.51
94947.71683,406,655.20,0.62,1565.95,60,10464.31
12808.25974,961,1533.60,0.63,1800.81,27,10817.71
23332.87361,129,205.20,0.63,222.67,20,1061.04
24318.61343,10,16.00,0.63,16.39,16,115.40
32008.61935,5,8.00,0.63,4.83,11,43.00
34243.07841,13,20.80,0.63,18.26,18,1739.13
36898.13304,69,110.40,0.63,84.00,16,47771.29
38559.74417,5,8.00,0.63,8.78,30,68.30
39928.92215,66,104.00,0.63,114.14,30,469.54
40989.98232,243,384.00,0.63,282.35,18,1218.22
41407.0252,80,127.20,0.63,150.41,23,1712.52
46597.28823,226,356.40,0.63,378.90,16,1259.82
57416.49581,128,204.00,0.63,114.46,11,1261.59
75778.01045,424,669.60,0.63,1592.20,60,7862.35
79757.16542,5,8.00,0.63,3.46,6,99.41
82812.70332,70,110.40,0.63,77.54,16,820.70
89858.93272,41,65.60,0.63,53.54,16,1591.78
9166.740085,33,52.80,0.63,26.69,8,541.60
97164.69178,168,268.40,0.63,1207.74,123,4198.31
16202.39659,384,597.60,0.64,933.64,31,9383.15
19188.97653,215,334.80,0.64,410.91,20,6463.23
30739.83347,473,741.00,0.64,1350.85,46,3484.25
78230.81337,16,25.00,0.64,32.75,16,286.58
87814.61072,149,233.60,0.64,221.32,21,1499.80
18353.49057,318,487.20,0.65,544.24,23,9177.15
23247.41692,7,10.80,0.65,5.84,11,90.93
2753.120319,42,65.00,0.65,106.59,30,1045.18
50420.98956,58,88.80,0.65,114.70,28,8086.61
61949.22183,67,102.60,0.65,52.04,8,1142.64
68435.63096,45,69.60,0.65,74.25,21,4829.92
87198.89708,14,21.60,0.65,29.13,28,998.19
26525.0436,112,169.60,0.66,257.49,31,3774.43
27249.77679,26,39.60,0.66,58.58,26,157.31
28063.98004,9969,15207.00,0.66,21363.96,31,70972.29
44208.9097,273,415.80,0.66,524.28,33,10297.90
747.6157018,6576,9965.00,0.66,36565.21,102,34245.97
79974.57181,21221,32315.00,0.66,107579.46,90,108400.39
8396.036677,157,238.00,0.66,272.19,21,11798.67
87631.39657,32358,48745.00,0.66,212034.05,123,227620.06
12707.54855,139,208.00,0.67,146.76,16,1229.85
13256.11931,167,248.40,0.67,278.61,16,2221.16
15017.43446,959,1431.00,0.67,2949.00,52,9744.20
46022.17049,20,30.00,0.67,32.93,30,229.83
4640.63071,1070,1591.20,0.67,1929.54,27,13945.27
49867.48071,2,3.00,0.67,0.72,5,25.61
53825.93435,4,6.00,0.67,2.04,5,37.60
56062.73383,10,15.00,0.67,19.73,26,62939.76
58083.65422,727,1092.00,0.67,1391.87,28,3767.55
58978.24688,4,6.00,0.67,2.12,6,20.23
59069.77943,21,31.20,0.67,19.06,6,256.58
59728.2109,2,3.00,0.67,0.88,8,8.47
74532.16,136,204.00,0.67,141.80,19,829.42
80430.37141,203,305.00,0.67,578.81,33,16035.79
80571.43174,12,18.00,0.67,20.72,16,354.79
87232.7768,8482,12597.60,0.67,6298.11,12,104126.56
90478.79893,34,51.00,0.67,47.75,16,858.55
91785.33863,10,15.00,0.67,3.58,5,58.24
98834.21824,532,796.80,0.67,527.14,8,6686.33
24821.80158,51,74.80,0.68,210.68,60,1424.38
26394.89998,99,146.40,0.68,144.59,20,587.43
28119.91436,166,243.00,0.68,254.07,21,1169.93
28199.61617,109,159.60,0.68,507.97,87,3074.71
52913.96599,194,286.80,0.68,194.91,16,1073.17
57581.14754,83,122.40,0.68,102.99,23,500.63
59688.16531,807,1190.00,0.68,2158.26,46,5711.95
73163.29742,37,54.40,0.68,131.35,66,311.31
74569.65391,207,305.00,0.68,1003.40,76,131154.06
74989.5713,1448,2116.40,0.68,3962.34,37,12512.09
91032.29837,104,153.00,0.68,114.92,16,1394.88
91961.60577,180,262.80,0.68,310.76,23,1180.43
9994.266704,314,462.00,0.68,610.25,26,7311.37
2465.773782,1864,2718.00,0.69,3696.28,28,29441.28
36916.6025,11,16.00,0.69,15.50,16,1041.12
41023.89821,2142,3124.80,0.69,4598.05,40,10804.48
43950.98135,14,20.40,0.69,11.29,12,1049.77
28524.55907,150,213.60,0.70,156.87,13,835.34
32226.87369,40,57.20,0.70,71.30,15,332.72
32279.6737,40,57.20,0.70,71.30,15,301.35
33116.19225,3268,4636.80,0.70,6233.78,35,42787.57
34485.09543,40,57.20,0.70,71.30,15,342.16
46788.20641,2972,4234.80,0.70,2395.89,12,21457.44
49341.73825,244,350.40,0.70,333.29,26,1254.75
5461.554491,1427,2045.00,0.70,7022.27,88,10193.40
59245.0841,205,294.00,0.70,362.76,23,3876.49
79546.86262,52,73.80,0.70,55.43,16,716.59
8431.172843,7619,10950.00,0.70,16093.18,32,56798.45
97658.69905,1495,2134.80,0.70,2520.01,33,12864.45
14077.96811,11,15.60,0.71,9.69,11,1209.19
2018.018446,23,32.40,0.71,47.57,25,7308.26
27385.06481,84,117.60,0.71,160.10,29,10244.13
40359.66273,187,262.80,0.71,422.16,31,3260.36
43094.78882,157,219.60,0.71,129.59,11,814.23
44320.83531,32,45.00,0.71,93.36,41,186.46
61579.17586,1186,1659.60,0.71,1090.10,16,6626.04
65905.88381,10,14.00,0.71,13.88,16,57.05
66763.51187,28,39.60,0.71,77.54,41,152.70
75376.51236,1873,2646.00,0.71,6779.04,66,242701.15
848.0809453,730,1034.00,0.71,1616.82,27,4235.90
85781.62452,1264,1778.40,0.71,4723.16,66,160101.66
1199.561603,257,356.80,0.72,224.91,11,2827.14
37616.39721,2030,2838.00,0.72,3763.67,26,21276.17
54543.47579,177,245.00,0.72,309.04,16,1147.51
76404.29028,91,127.20,0.72,134.96,23,961.50
79775.55118,436,602.40,0.72,853.31,34,2762.23
91715.26174,172,240.00,0.72,172.06,12,1520.36
94028.81348,501,699.20,0.72,702.66,23,10398.22
95331.43224,13,18.00,0.72,19.84,16,733.36
18966.89772,1342,1845.00,0.73,2632.07,30,10185.89
22414.89462,42,57.20,0.73,93.80,30,1159.56
2333.247696,7466,10164.00,0.73,18541.10,44,52711.62
25964.72027,16,22.00,0.73,31.92,21,116.88
40510.0628,16,22.00,0.73,43.44,41,81.04
45418.91071,157,215.60,0.73,356.94,21,1602.64
64582.05918,51,70.00,0.73,106.34,28,1397.23
69987.86978,11,15.00,0.73,20.84,26,542.79
72091.99853,1439,1958.00,0.73,4173.24,46,10385.72
73771.9607,261,360.00,0.73,405.51,23,2524.27
83637.23189,2954,4051.20,0.73,7088.82,42,17809.12
84010.94264,16,22.00,0.73,39.90,35,1138.57
84896.52428,12108,16531.20,0.73,18621.21,23,98832.88
87895.67422,1011,1382.40,0.73,750.91,11,6623.80
20509.28596,109,147.00,0.74,173.83,23,1261.18
30893.03415,20,27.00,0.74,21.99,8,229.54
43809.86457,412,554.40,0.74,958.20,35,3673.24
45624.17289,56,75.60,0.74,112.41,27,534.33
50611.65194,149,201.60,0.74,113.11,11,810.03
7857.752319,25,33.60,0.74,22.29,12,233.17
84694.08252,144,195.20,0.74,411.29,48,1032.89
8948.118231,8,10.80,0.74,5.30,8,237.16
91788.78777,528,714.00,0.74,580.76,23,3738.07
94298.91717,16,21.60,0.74,25.44,23,373.04
83827.89094,233,312.00,0.75,294.27,21,2993.95
33414.02194,2619,3439.20,0.76,4330.28,35,22841.06
46869.79545,30,39.60,0.76,78.60,37,402.96
62332.91036,34,45.00,0.76,42.14,16,1028.99
84351.60936,39,51.00,0.76,75.45,28,3475.66
89009.13269,1635,2165.00,0.76,7555.44,81,399711.80
99645.52245,34,45.00,0.76,79.28,30,922.76
10364.08644,50,65.00,0.77,197.34,60,1117.37
38093.32095,624,813.00,0.77,898.04,18,3296.12
38621.46053,23,30.00,0.77,14.34,8,275.16
54440.0798,348,454.40,0.77,737.44,33,3740.02
68368.04535,104,135.00,0.77,201.25,28,35839.18
69905.31937,12,15.60,0.77,7.35,8,92.33
20540.37645,4723,6064.80,0.78,7001.58,23,35416.78
2264.265334,682,874.80,0.78,653.99,13,6074.29
23682.79807,54,69.60,0.78,75.14,21,322.37
43162.74144,86,110.40,0.78,118.17,23,1034.47
57821.70364,7654,9766.80,0.78,23485.43,58,133868.67
61623.30086,1442,1838.40,0.78,1914.52,28,19871.12
75543.6224,69,88.80,0.78,121.77,28,7335.32
87129.24137,14,18.00,0.78,36.70,44,185.43
1093.566669,712,902.40,0.79,1052.95,22,12014.15
16747.70499,2113,2658.00,0.79,2071.03,18,37143.53
34390.00277,471,592.80,0.79,838.85,33,2554.54
41079.60145,459,582.40,0.79,1391.95,60,12013.09
45174.96376,242,306.00,0.79,550.63,35,3933.36
70246.00321,357,453.60,0.79,809.78,35,3855.95
71000.67199,40,50.40,0.79,38.30,11,846.46
75533.75393,11,14.00,0.79,13.75,16,1012.43
89243.77892,323,409.20,0.79,784.78,33,5226.63
99408.71991,3045,3834.00,0.79,6244.86,35,21605.25
33525.41556,20,25.00,0.80,43.58,23,398.41
4154.608702,137,170.40,0.80,89.13,11,802.21
43416.42237,12,15.00,0.80,31.24,41,1382.95
66345.50015,26,32.40,0.80,63.44,41,214.62
84273.51019,26,32.40,0.80,44.66,21,215.70
28074.48401,1363,1675.20,0.81,2393.48,38,9764.26
55243.20891,706,870.00,0.81,2789.21,68,110940.24
56095.15083,8957,11057.20,0.81,25676.41,58,146603.73
79791.06754,19,23.40,0.81,16.16,11,129.92
81820.50532,3470,4287.60,0.81,1997.24,12,24579.92
64482.4853,269,326.40,0.82,514.43,28,37613.94
79780.34904,8272,10107.00,0.82,9834.32,21,46953.20
82506.3155,215,262.80,0.82,476.63,35,2757.65
8954.076984,510,621.00,0.82,670.03,15,4156.90
42600.17895,63,75.60,0.83,138.50,28,1589.42
49002.29976,654,790.40,0.83,1074.16,22,8544.03
49987.42053,462,558.00,0.83,1503.75,68,9908.94
56037.89845,713,861.00,0.83,1556.77,41,4398.62
62977.65315,4289,5178.80,0.83,12130.46,51,24267.20
68319.07542,538,645.00,0.83,878.17,25,3234.21
73183.07634,15,18.00,0.83,36.49,43,186.82
76119.6571,18,21.60,0.83,26.75,23,409.23
7725.185229,8466,10195.20,0.83,14233.76,30,70220.50
87484.99284,188038,227268.00,0.83,652937.33,76,982692.53
10728.18783,1094,1296.00,0.84,2416.64,37,8099.92
42197.0308,21,25.00,0.84,48.17,29,115.55
68753.34457,15547,18591.00,0.84,53344.35,78,158137.11
8351.712288,117,138.60,0.84,202.07,34,5791.70
15232.50738,31,36.40,0.85,40.24,16,341.39
20838.15682,23,27.00,0.85,36.47,23,328.76
22667.03678,43,50.40,0.85,51.62,16,516.81
23852.51996,1777,2080.80,0.85,3309.00,26,28600.69
34854.65502,40,46.80,0.85,58.34,15,332.36
35027.40025,1259,1475.20,0.85,2193.43,27,9046.96
3872.530019,1124,1320.00,0.85,847.39,13,8116.02
58870.79322,805,946.00,0.85,1877.15,35,5920.63
6795.122228,290,342.00,0.85,534.09,29,6561.95
71481.31066,175,207.00,0.85,303.77,23,1143.91
71657.17638,371,436.80,0.85,443.62,17,2227.19
87767.50716,23,27.00,0.85,39.78,29,132.58
16289.3966,44,51.00,0.86,65.29,21,281.98
26376.72145,57,66.60,0.86,211.97,87,1793.44
28305.80833,28,32.40,0.86,71.85,44,9740.26
3420.153399,171,198.00,0.86,411.58,30,1128.77
58344.90294,4042,4710.00,0.86,17987.52,87,126469.37
72009.69859,12,14.00,0.86,17.68,21,273.76
82832.34393,168,194.40,0.86,306.16,31,1544.00
3243.390147,1442,1651.20,0.87,3420.23,52,27187.20
56381.89685,27,31.20,0.87,31.95,16,498.28
62669.72857,130,148.80,0.87,76.66,13,1380.23
81640.24882,69,79.20,0.87,78.54,16,371.50
89385.16644,13,15.00,0.87,19.78,21,260.68
92208.60078,1797,2076.00,0.87,2643.48,26,12426.78
99849.03071,55,63.00,0.87,80.68,23,1048.66
18511.05158,36,40.80,0.88,51.61,25,259.77
19501.29949,137,156.00,0.88,85.09,11,845.09
61763.28744,26013,29594.40,0.88,90963.91,76,137466.63
72632.12152,8687,9831.60,0.88,9329.04,23,92697.53
79282.39564,120,136.00,0.88,96.40,16,1742.94
90839.04435,977,1104.00,0.88,560.03,13,6315.03
91056.89356,41,46.80,0.88,69.67,22,448.82
95500.49016,52,58.80,0.88,64.81,16,312.44
32538.50344,1709,1915.20,0.89,2683.76,35,33735.15
35399.65831,48,54.00,0.89,38.63,16,772.05
39547.29566,16,18.00,0.89,35.80,42,94.67
42508.60461,143,160.80,0.89,185.75,28,14234.42
44766.43608,345,386.40,0.89,645.86,35,2731.82
48757.60959,99,111.00,0.89,173.42,31,595.63
58947.41564,16,18.00,0.89,28.37,28,1398.11
62008.62797,412,464.80,0.89,901.89,44,4387.83
8303.918527,339,379.20,0.89,283.58,16,3079.77
9089.83595,5106,5750.40,0.89,9924.46,44,129909.92
12676.44662,183,204.40,0.90,355.89,36,6020.36
37695.82788,28,31.20,0.90,25.41,8,348.66
45494.15842,973,1075.20,0.90,2241.42,46,7240.03
57739.66091,35,39.00,0.90,64.19,30,7344.88
91035.61917,53,58.80,0.90,16.13,5,1243.37
16032.9716,3808,4185.00,0.91,10186.68,59,32398.81
17675.74024,41,45.00,0.91,117.51,50,267.34
2669.177997,125,137.20,0.91,371.74,66,3774.38
4179.736314,546,597.60,0.91,757.51,33,11703.55
4472.452456,94,103.60,0.91,163.62,29,17811.23
60353.48769,258,283.80,0.91,188.26,17,5944.44
67330.82858,1109,1215.00,0.91,3210.56,66,15291.03
69877.27583,2762,3027.20,0.91,11346.90,87,90601.77
82709.24091,244,268.40,0.91,775.61,60,5134.86
86446.44412,67,73.80,0.91,62.15,16,1347.87
95930.30237,113,124.20,0.91,178.40,31,1084.58
98053.03428,20,22.00,0.91,64.92,60,2812.09
22520.01689,11,12.00,0.92,14.16,22,56.71
32876.00356,832,902.40,0.92,734.85,8,6208.04
33510.5229,2773,3027.20,0.92,1968.72,16,19773.04
57978.83457,134,145.20,0.92,318.77,37,2346.56
61716.77149,4633,5032.00,0.92,8774.55,44,132267.47
64992.5687,181895,198536.80,0.92,511312.34,66,1395586.72
80109.94767,3193,3458.40,0.92,3739.29,28,27367.10
8263.863572,85,92.40,0.92,209.05,38,8084.36
17596.66454,451,484.00,0.93,1294.99,58,2337.17
21915.70075,28,30.00,0.93,22.24,16,166.01
24760.86271,180,193.20,0.93,317.65,31,4750.32
26941.50665,3770,4075.20,0.93,5768.50,35,49543.27
34316.69162,489,525.60,0.93,791.36,31,5188.79
38645.52128,14,15.00,0.93,28.20,37,5013.99
54058.36796,28116,30171.00,0.93,66272.61,56,150550.57
59065.7381,124,133.20,0.93,245.84,38,999.60
6591.650064,10,10.80,0.93,8.50,16,234.78
88457.06741,4806,5181.60,0.93,11666.12,58,35930.28
93725.9732,140,151.20,0.93,117.99,16,2698.00
98329.55094,86,92.40,0.93,288.64,61,1237.26
30529.13663,30,31.80,0.94,26.76,23,2423.20
33429.50256,46,48.80,0.94,26.30,12,1271.42
55531.14298,2933,3113.60,0.94,7560.39,58,37030.66
73714.04524,321,340.80,0.94,745.52,52,7069.29
12159.11518,194,204.40,0.95,445.20,46,1770.66
13305.90624,358,375.20,0.95,757.62,46,2536.37
14533.14101,29,30.60,0.95,67.17,60,391.87
17856.66378,472,496.80,0.95,882.53,31,2937.47
3527.394088,9874,10370.00,0.95,36753.70,80,70923.29
37920.10879,176,184.80,0.95,215.93,23,1271.72
96750.54531,1272,1337.60,0.95,3238.41,46,9095.54
11288.29837,225,233.20,0.96,518.98,37,2742.02
26443.5343,184,190.80,0.96,306.74,23,2748.76
27931.1516,20,20.80,0.96,18.97,17,202.97
33552.6275,290,300.80,0.96,418.16,38,21243.11
69829.51455,49,51.00,0.96,90.88,37,1106.90
38489.70519,115,118.80,0.97,211.56,28,2485.02
49076.64577,21,21.60,0.97,22.96,16,147.10
49843.96956,651,669.60,0.97,1149.86,27,7454.38
54186.82985,1716,1766.40,0.97,1742.13,23,68835.04
9225.661922,84,87.00,0.97,116.94,21,483.99
93540.85184,46993,48348.80,0.97,103501.39,46,388702.10
12583.73606,1171,1195.00,0.98,3555.23,61,7371.87
3478.938552,363,369.60,0.98,567.61,33,2538.17
36205.11128,34,34.80,0.98,20.77,11,1016.43
64571.78884,7973,8169.60,0.98,12197.54,31,59140.89
78565.34973,657,670.00,0.98,1741.06,46,4568.90
99188.33387,66,67.20,0.98,151.73,41,1067.11
53779.00665,31,31.20,0.99,39.47,22,268.73
57080.21584,261,264.00,0.99,354.86,21,1366.26
48946.51898,426,427.20,1.00,1048.66,66,12698.83
67855.63481,7719,7720.20,1.00,13048.07,44,41942.39
91054.88135,11283,11312.40,1.00,48170.18,108,117929.47
