sku,on_hand_stock_value,percentage_of_total_value,cumulative_percentage_of_value
55647.4245,587.77,0.0013,99.73
94785.8318,587.59,0.0013,99.73
3015.299583,587.55,0.0013,99.73
26394.89998,587.43,0.0013,99.73
24373.99537,586.41,0.0013,99.73
72252.52323,582.31,0.0013,99.73
12080.64616,579.66,0.0013,99.74
44205.04411,571.14,0.0012,99.74
62848.09046,569.43,0.0012,99.74
57244.61443,566.32,0.0012,99.74
29029.65481,564.37,0.0012,99.74
58745.50168,564.30,0.0012,99.74
77196.3111,563.76,0.0012,99.74
69939.65533,562.91,0.0012,99.74
80434.7921,562.03,0.0012,99.75
85710.85199,558.35,0.0012,99.75
50930.93379,556.66,0.0012,99.75
69917.70123,555.13,0.0012,99.75
19941.46742,552.90,0.0012,99.75
55.95166091,551.42,0.0012,99.75
73806.41833,551.26,0.0012,99.75
20167.09523,549.92,0.0012,99.75
71728.94906,548.65,0.0012,99.75
66159.28149,547.86,0.0012,99.76
43993.27283,544.66,0.0012,99.76
37503.0496,542.79,0.0012,99.76
69987.86978,542.79,0.0012,99.76
9166.740085,541.60,0.0012,99.76
14220.41262,541.46,0.0012,99.76
56400.75485,540.96,0.0012,99.76
83000.8256,535.79,0.0012,99.76
31126.68106,535.59,0.0012,99.77
45624.17289,534.33,0.0012,99.77
38681.85219,528.81,0.0011,99.77
37528.55824,524.63,0.0011,99.77
44289.2047,521.11,0.0011,99.77
40524.06718,520.64,0.0011,99.77
68106.51762,517.41,0.0011,99.77
22667.03678,516.81,0.0011,99.77
98708.20039,514.85,0.0011,99.77
13480.94554,509.74,0.0011,99.78
39377.98911,504.87,0.0011,99.78
21236.62438,502.19,0.0011,99.78
96716.7153,501.62,0.0011,99.78
57581.14754,500.63,0.0011,99.78
50412.93308,499.94,0.0011,99.78
56381.89685,498.28,0.0011,99.78
13835.64099,497.10,0.0011,99.78
10239.02632,486.55,0.0011,99.78
9225.661922,483.99,0.0011,99.79
46060.91678,482.58,0.0010,99.79
35550.82626,480.47,0.0010,99.79
60644.09712,477.18,0.0010,99.79
92084.2001,475.27,0.0010,99.79
5065.188283,473.68,0.0010,99.79
56881.87625,469.76,0.0010,99.79
39928.92215,469.54,0.0010,99.79
45870.41515,465.57,0.0010,99.79
41680.07185,460.68,0.0010,99.79
14400.80689,458.56,0.0010,99.80
97465.78026,457.38,0.0010,99.80
32381.69299,457.12,0.0010,99.80
12533.72729,456.29,0.0010,99.80
76231.03342,452.38,0.0010,99.80
91056.89356,448.82,0.0010,99.80
90821.50073,447.37,0.0010,99.80
29408.85344,442.41,0.0010,99.80
36230.00449,441.34,0.0010,99.80
80696.93523,438.20,0.0010,99.80
78912.73121,437.37,0.0010,99.81
20851.90804,437.35,0.0010,99.81
11965.10355,436.64,0.0009,99.81
12395.24249,436.60,0.0009,99.81
2890.793752,431.29,0.0009,99.81
68278.33093,431.25,0.0009,99.81
38956.79346,430.18,0.0009,99.81
82555.758,429.81,0.0009,99.81
77659.50168,429.12,0.0009,99.81
89405.80703,428.24,0.0009,99.81
97836.37886,427.59,0.0009,99.81
76253.80621,426.85,0.0009,99.82
13566.6382,425.13,0.0009,99.82
91457.61403,424.62,0.0009,99.82
30898.51141,419.58,0.0009,99.82
93549.10259,412.26,0.0009,99.82
76119.6571,409.23,0.0009,99.82
39482.28093,408.62,0.0009,99.82
46633.95719,408.48,0.0009,99.82
52153.34181,407.98,0.0009,99.82
54483.07648,406.98,0.0009,99.82
81537.96901,404.30,0.0009,99.82
36471.18527,403.38,0.0009,99.83
46869.79545,402.96,0.0009,99.83
24295.59651,402.36,0.0009,99.83
84231.26987,401.15,0.0009,99.83
88791.26165,400.07,0.0009,99.83
82599.30915,398.60,0.0009,99.83
33525.41556,398.41,0.0009,99.83
57225.68169,393.49,0.0009,99.83
14533.14101,391.87,0.0009,99.83
63934.82728,387.46,0.0008,99.83
54367.23601,384.93,0.0008,99.83
42854.3262,381.02,0.0008,99.84
38944.51883,380.01,0.0008,99.84
96146.75067,376.85,0.0008,99.84
34784.80383,375.28,0.0008,99.84
94298.91717,373.04,0.0008,99.84
9530.401133,372.75,0.0008,99.84
81640.24882,371.50,0.0008,99.84
67889.90501,371.45,0.0008,99.84
47546.81561,370.78,0.0008,99.84
81582.05838,369.21,0.0008,99.84
91128.90038,366.77,0.0008,99.84
92010.48054,364.93,0.0008,99.84
38388.46865,359.92,0.0008,99.84
60451.34082,355.59,0.0008,99.85
58600.29598,355.48,0.0008,99.85
46476.69875,355.20,0.0008,99.85
80571.43174,354.79,0.0008,99.85
5477.944621,351.28,0.0008,99.85
64784.44354,350.00,0.0008,99.85
49101.2945,349.27,0.0008,99.85
37695.82788,348.66,0.0008,99.85
63038.37697,346.65,0.0008,99.85
34485.09543,342.16,0.0007,99.85
47021.69046,342.09,0.0007,99.85
17682.88126,341.95,0.0007,99.85
15232.50738,341.39,0.0007,99.85
32581.97004,341.34,0.0007,99.86
37961.20578,340.89,0.0007,99.86
51368.02512,340.88,0.0007,99.86
76899.60135,340.52,0.0007,99.86
16190.15576,339.69,0.0007,99.86
94094.52434,337.47,0.0007,99.86
32226.87369,332.72,0.0007,99.86
34854.65502,332.36,0.0007,99.86
11673.86812,331.53,0.0007,99.86
57475.61525,330.19,0.0007,99.86
20838.15682,328.76,0.0007,99.86
70461.63002,327.99,0.0007,99.86
7989.807903,325.72,0.0007,99.86
23682.79807,322.37,0.0007,99.86
5507.884826,321.53,0.0007,99.87
14944.90422,320.94,0.0007,99.87
66241.69921,320.94,0.0007,99.87
56878.11327,319.51,0.0007,99.87
44446.31555,319.08,0.0007,99.87
55806.5158,316.79,0.0007,99.87
91628.00789,315.33,0.0007,99.87
48763.90015,314.64,0.0007,99.87
36030.96631,313.28,0.0007,99.87
95500.49016,312.44,0.0007,99.87
66951.12366,311.36,0.0007,99.87
73163.29742,311.31,0.0007,99.87
22636.42443,309.93,0.0007,99.87
54527.61791,308.38,0.0007,99.87
47556.58701,308.32,0.0007,99.88
954.1068846,308.09,0.0007,99.88
7595.552357,306.50,0.0007,99.88
79135.88516,306.50,0.0007,99.88
37474.06144,306.30,0.0007,99.88
14288.30803,303.89,0.0007,99.88
77841.39491,301.57,0.0007,99.88
32279.6737,301.35,0.0007,99.88
58079.34347,299.69,0.0007,99.88
56366.72822,296.97,0.0006,99.88
59027.20799,296.37,0.0006,99.88
50165.03928,295.52,0.0006,99.88
94901.17871,294.66,0.0006,99.88
33231.01826,293.37,0.0006,99.88
22029.78736,291.56,0.0006,99.88
25867.0554,291.56,0.0006,99.88
47004.24269,291.56,0.0006,99.89
36801.08852,290.41,0.0006,99.89
43822.25836,288.98,0.0006,99.89
82534.17776,287.94,0.0006,99.89
77655.76465,287.70,0.0006,99.89
78230.81337,286.58,0.0006,99.89
34253.56361,284.58,0.0006,99.89
43367.37952,282.34,0.0006,99.89
16289.3966,281.98,0.0006,99.89
76279.32956,279.83,0.0006,99.89
82832.52498,278.57,0.0006,99.89
93202.32543,278.46,0.0006,99.89
3513.799268,277.80,0.0006,99.89
53279.26493,277.16,0.0006,99.89
30587.57995,277.03,0.0006,99.89
67616.65104,275.69,0.0006,99.89
1465.287773,275.48,0.0006,99.90
76543.52333,275.33,0.0006,99.90
38621.46053,275.16,0.0006,99.90
72009.69859,273.76,0.0006,99.90
63748.76854,273.50,0.0006,99.90
44624.30577,272.54,0.0006,99.90
49840.64111,272.36,0.0006,99.90
91854.0598,270.80,0.0006,99.90
43580.49714,270.58,0.0006,99.90
12363.61215,270.00,0.0006,99.90
89374.89194,270.00,0.0006,99.90
85652.9908,269.61,0.0006,99.90
53779.00665,268.73,0.0006,99.90
26362.66432,268.61,0.0006,99.90
17675.74024,267.34,0.0006,99.90
29651.51183,265.54,0.0006,99.90
54644.76441,264.65,0.0006,99.90
59196.26073,264.13,0.0006,99.91
69878.49921,263.42,0.0006,99.91
37034.59859,262.46,0.0006,99.91
33926.56945,261.68,0.0006,99.91
28701.63319,261.45,0.0006,99.91
61839.11381,260.89,0.0006,99.91
89385.16644,260.68,0.0006,99.91
84102.45845,260.57,0.0006,99.91
18511.05158,259.77,0.0006,99.91
88499.43008,259.74,0.0006,99.91
68318.78866,259.25,0.0006,99.91
59069.77943,256.58,0.0006,99.91
80417.46676,253.16,0.0006,99.91
78998.63826,252.54,0.0005,99.91
783.9037727,248.70,0.0005,99.91
39214.33263,247.37,0.0005,99.91
29982.57199,247.04,0.0005,99.91
2838.435689,245.51,0.0005,99.91
30107.5998,243.68,0.0005,99.92
70857.37247,242.70,0.0005,99.92
7436.807314,242.32,0.0005,99.92
5565.194267,242.23,0.0005,99.92
51679.80795,240.90,0.0005,99.92
63670.75083,239.94,0.0005,99.92
5869.593443,239.57,0.0005,99.92
51198.41152,239.37,0.0005,99.92
23921.16203,239.16,0.0005,99.92
12950.88246,239.14,0.0005,99.92
61734.75194,237.94,0.0005,99.92
8948.118231,237.16,0.0005,99.92
2813.969934,236.06,0.0005,99.92
32256.65625,235.74,0.0005,99.92
6591.650064,234.78,0.0005,99.92
70200.57052,234.27,0.0005,99.92
7857.752319,233.17,0.0005,99.92
26543.223,233.06,0.0005,99.92
94247.97473,231.75,0.0005,99.92
46022.17049,229.83,0.0005,99.93
30893.03415,229.54,0.0005,99.93
65825.06061,229.09,0.0005,99.93
11726.2985,226.50,0.0005,99.93
44375.94425,225.46,0.0005,99.93
95065.28913,224.96,0.0005,99.93
43497.30661,224.70,0.0005,99.93
8392.581071,224.51,0.0005,99.93
50685.29326,224.08,0.0005,99.93
13825.92566,222.32,0.0005,99.93
74026.59966,220.15,0.0005,99.93
30492.923,219.35,0.0005,99.93
84273.51019,215.70,0.0005,99.93
66345.50015,214.62,0.0005,99.93
67407.81987,214.01,0.0005,99.93
12391.62135,212.74,0.0005,99.93
89602.68337,212.69,0.0005,99.93
82265.2851,210.78,0.0005,99.93
95354.15986,209.04,0.0005,99.93
97640.65862,207.77,0.0005,99.93
56852.69199,207.40,0.0005,99.93
72831.12371,206.70,0.0004,99.93
99367.07905,206.54,0.0004,99.94
36559.455,206.24,0.0004,99.94
63597.9838,204.31,0.0004,99.94
27931.1516,202.97,0.0004,99.94
80557.19668,202.78,0.0004,99.94
24990.97608,202.46,0.0004,99.94
24401.95087,201.62,0.0004,99.94
10654.13136,200.65,0.0004,99.94
43920.82602,199.16,0.0004,99.94
98043.10893,198.67,0.0004,99.94
88608.29211,198.51,0.0004,99.94
85728.69329,194.46,0.0004,99.94
67144.68233,194.03,0.0004,99.94
59404.98731,191.81,0.0004,99.94
56490.52412,187.95,0.0004,99.94
54983.43548,187.81,0.0004,99.94
73183.07634,186.82,0.0004,99.94
44320.83531,186.46,0.0004,99.94
87129.24137,185.43,0.0004,99.94
34471.12391,184.54,0.0004,99.94
13890.49711,183.94,0.0004,99.94
65498.0716,183.03,0.0004,99.94
35470.91724,181.14,0.0004,99.94
44081.15571,179.77,0.0004,99.95
95729.65877,177.60,0.0004,99.95
55467.27121,175.57,0.0004,99.95
79805.55301,174.65,0.0004,99.95
50881.52299,174.25,0.0004,99.95
16821.95714,173.91,0.0004,99.95
52071.58392,173.32,0.0004,99.95
37521.04229,173.13,0.0004,99.95
50997.24849,172.78,0.0004,99.95
30641.93847,171.18,0.0004,99.95
9888.345393,170.02,0.0004,99.95
98139.37454,168.84,0.0004,99.95
34249.81368,168.71,0.0004,99.95
55973.83445,168.12,0.0004,99.95
71873.54123,167.59,0.0004,99.95
62578.56097,167.43,0.0004,99.95
68540.27611,166.72,0.0004,99.95
76115.21441,166.56,0.0004,99.95
21915.70075,166.01,0.0004,99.95
9503.436666,162.80,0.0004,99.95
35251.07142,161.37,0.0004,99.95
55912.04181,160.68,0.0003,99.95
60925.83975,160.67,0.0003,99.95
5146.411327,160.42,0.0003,99.95
73860.71471,159.48,0.0003,99.95
7788.562856,159.43,0.0003,99.95
64524.54055,159.37,0.0003,99.95
27249.77679,157.31,0.0003,99.95
67748.83664,157.05,0.0003,99.96
92110.94562,154.47,0.0003,99.96
33788.86995,154.39,0.0003,99.96
34296.63758,153.97,0.0003,99.96
66763.51187,152.70,0.0003,99.96
46840.29979,152.03,0.0003,99.96
93158.66933,151.54,0.0003,99.96
3131.117452,151.13,0.0003,99.96
26840.76943,149.80,0.0003,99.96
87621.46342,149.59,0.0003,99.96
58091.45501,147.50,0.0003,99.96
9615.943625,147.42,0.0003,99.96
1390.773049,147.32,0.0003,99.96
49076.64577,147.10,0.0003,99.96
27165.81733,146.46,0.0003,99.96
46291.06205,146.17,0.0003,99.96
1912.492979,145.25,0.0003,99.96
59233.22299,144.98,0.0003,99.96
2080.125369,144.45,0.0003,99.96
10514.99874,143.48,0.0003,99.96
57719.39021,142.26,0.0003,99.96
14082.8658,141.68,0.0003,99.96
41610.36305,140.39,0.0003,99.96
48256.78768,138.15,0.0003,99.96
32369.28162,137.47,0.0003,99.96
83101.39768,136.33,0.0003,99.96
52607.2665,135.64,0.0003,99.96
93388.69442,134.06,0.0003,99.96
36904.67378,133.50,0.0003,99.96
24189.22483,132.85,0.0003,99.96
87767.50716,132.58,0.0003,99.96
55482.66358,132.57,0.0003,99.96
22099.88081,131.49,0.0003,99.97
45713.31833,130.91,0.0003,99.97
38.49898826,129.93,0.0003,99.97
79791.06754,129.92,0.0003,99.97
35069.67071,129.57,0.0003,99.97
66104.14713,129.44,0.0003,99.97
26059.3633,129.25,0.0003,99.97
25454.28311,128.37,0.0003,99.97
26425.65326,128.09,0.0003,99.97
20232.45783,125.71,0.0003,99.97
93398.35281,123.37,0.0003,99.97
19294.75574,123.20,0.0003,99.97
98378.27555,122.91,0.0003,99.97
21917.13829,119.72,0.0003,99.97
36412.69172,119.45,0.0003,99.97
12591.10447,117.74,0.0003,99.97
69218.28128,117.54,0.0003,99.97
25964.72027,116.88,0.0003,99.97
48521.12752,116.79,0.0003,99.97
63390.61541,116.11,0.0003,99.97
42197.0308,115.55,0.0003,99.97
24318.61343,115.40,0.0003,99.97
76756.87989,115.31,0.0003,99.97
3741.109181,115.01,0.0002,99.97
64151.56084,114.98,0.0002,99.97
93675.6505,113.33,0.0002,99.97
19362.40888,113.16,0.0002,99.97
50337.76968,113.14,0.0002,99.97
65445.767,112.04,0.0002,99.97
2199.098984,111.91,0.0002,99.97
40124.79589,108.66,0.0002,99.97
19029.92505,108.53,0.0002,99.97
55477.94926,108.49,0.0002,99.97
86262.20054,108.27,0.0002,99.97
76699.4284,108.12,0.0002,99.97
32339.82367,107.29,0.0002,99.97
35673.96558,107.12,0.0002,99.97
97384.75969,106.00,0.0002,99.97
13316.33142,105.88,0.0002,99.97
92457.86557,104.99,0.0002,99.98
89604.23049,104.28,0.0002,99.98
83455.34766,103.97,0.0002,99.98
37091.96654,102.02,0.0002,99.98
59822.64397,101.32,0.0002,99.98
76184.56936,99.90,0.0002,99.98
79757.16542,99.41,0.0002,99.98
46724.82287,99.24,0.0002,99.98
33392.71067,98.19,0.0002,99.98
89743.47696,97.78,0.0002,99.98
14522.11341,97.67,0.0002,99.98
57014.25897,97.36,0.0002,99.98
70828.31315,96.62,0.0002,99.98
4614.838536,95.59,0.0002,99.98
14959.28489,94.85,0.0002,99.98
39547.29566,94.67,0.0002,99.98
34368.34819,93.79,0.0002,99.98
69905.31937,92.33,0.0002,99.98
38520.56874,92.21,0.0002,99.98
80344.90305,91.26,0.0002,99.98
23247.41692,90.93,0.0002,99.98
34117.21829,90.72,0.0002,99.98
86221.78178,90.13,0.0002,99.98
53822.56425,90.01,0.0002,99.98
18407.77463,89.63,0.0002,99.98
76090.04432,89.61,0.0002,99.98
27235.48519,88.82,0.0002,99.98
78905.07537,88.25,0.0002,99.98
14387.29467,88.20,0.0002,99.98
52870.46568,86.78,0.0002,99.98
46285.29314,85.97,0.0002,99.98
97338.85973,85.78,0.0002,99.98
4511.179675,85.04,0.0002,99.98
76619.94459,84.45,0.0002,99.98
38857.4034,82.24,0.0002,99.98
19715.918,81.67,0.0002,99.98
47774.47444,81.59,0.0002,99.98
18262.6529,81.15,0.0002,99.98
94413.99111,81.05,0.0002,99.98
40510.0628,81.04,0.0002,99.98
11568.84245,81.02,0.0002,99.98
7222.37229,80.53,0.0002,99.98
23375.12566,80.40,0.0002,99.98
99727.35474,79.47,0.0002,99.98
35267.43038,78.84,0.0002,99.98
73377.32315,78.79,0.0002,99.98
32963.11452,78.04,0.0002,99.98
13514.24028,76.98,0.0002,99.98
16643.79319,76.66,0.0002,99.98
23693.3684,75.53,0.0002,99.98
4336.412388,74.93,0.0002,99.98
9715.729205,74.40,0.0002,99.98
47789.22905,73.97,0.0002,99.99
78261.5522,73.00,0.0002,99.99
98580.99493,72.84,0.0002,99.99
80733.80677,71.67,0.0002,99.99
86267.46835,71.46,0.0002,99.99
40644.05282,71.17,0.0002,99.99
89943.6597,70.32,0.0002,99.99
13083.50333,70.29,0.0002,99.99
40688.08369,69.46,0.0002,99.99
84047.34263,69.38,0.0002,99.99
58772.38551,69.20,0.0002,99.99
43977.12847,68.99,0.0001,99.99
38559.74417,68.30,0.0001,99.99
14287.91251,68.25,0.0001,99.99
36540.19919,68.22,0.0001,99.99
41592.17978,67.87,0.0001,99.99
88147.35741,67.37,0.0001,99.99
98206.36746,67.08,0.0001,99.99
472.5036415,67.05,0.0001,99.99
82235.37377,66.53,0.0001,99.99
92397.65944,66.04,0.0001,99.99
31340.14649,65.04,0.0001,99.99
40165.04498,64.68,0.0001,99.99
34756.29703,64.35,0.0001,99.99
97900.13584,64.22,0.0001,99.99
19739.63902,64.12,0.0001,99.99
43831.07434,63.87,0.0001,99.99
40066.64533,63.60,0.0001,99.99
17330.33273,63.44,0.0001,99.99
464.3319328,63.27,0.0001,99.99
64530.52671,62.38,0.0001,99.99
20515.10297,61.12,0.0001,99.99
21901.57739,61.07,0.0001,99.99
34071.13627,60.76,0.0001,99.99
26011.98886,60.10,0.0001,99.99
46546.61843,59.18,0.0001,99.99
24970.73488,59.15,0.0001,99.99
28439.44014,58.47,0.0001,99.99
91785.33863,58.24,0.0001,99.99
60638.94864,57.28,0.0001,99.99
65905.88381,57.05,0.0001,99.99
4089.249082,56.95,0.0001,99.99
48155.2649,56.82,0.0001,99.99
84269.57277,56.80,0.0001,99.99
22520.01689,56.71,0.0001,99.99
86793.40418,56.65,0.0001,99.99
90957.94537,54.84,0.0001,99.99
76164.66068,54.68,0.0001,99.99
48407.04413,54.60,0.0001,99.99
48413.09986,54.52,0.0001,99.99
62746.01188,53.69,0.0001,99.99
61807.91734,53.21,0.0001,99.99
16763.75203,52.90,0.0001,99.99
21977.15266,52.10,0.0001,99.99
21448.01887,51.68,0.0001,99.99
18814.27596,51.46,0.0001,99.99
79018.36345,51.27,0.0001,99.99
14561.62588,50.61,0.0001,99.99
67635.93921,50.18,0.0001,99.99
80866.55668,49.19,0.0001,99.99
58772.0459,48.02,0.0001,99.99
26378.62985,47.98,0.0001,99.99
55607.84764,47.88,0.0001,99.99
69438.25951,47.87,0.0001,99.99
72009.44844,47.85,0.0001,99.99
40362.31439,47.07,0.0001,99.99
18554.01969,46.69,0.0001,99.99
51278.72571,45.74,0.0001,99.99
61599.13697,45.40,0.0001,99.99
94612.03893,45.34,0.0001,99.99
20058.57596,45.03,0.0001,99.99
66054.84358,44.59,0.0001,99.99
31911.81543,44.07,0.0001,99.99
89304.32349,44.04,0.0001,99.99
336.8691995,43.09,0.0001,99.99
45879.09284,43.03,0.0001,99.99
32008.61935,43.00,0.0001,99.99
78535.81499,42.94,0.0001,99.99
1762.612105,42.27,0.0001,99.99
21546.18424,41.77,0.0001,99.99
14719.85298,41.67,0.0001,100.00
24479.56596,41.27,0.0001,100.00
36637.88988,41.02,0.0001,100.00
41393.25239,41.01,0.0001,100.00
90461.4167,40.48,0.0001,100.00
75977.31324,39.63,0.0001,100.00
18282.02917,39.26,0.0001,100.00
91775.97226,39.09,0.0001,100.00
78354.19965,38.87,0.0001,100.00
29174.32198,38.30,0.0001,100.00
82987.78397,38.00,0.0001,100.00
38508.48056,37.70,0.0001,100.00
53825.93435,37.60,0.0001,100.00
34364.44188,37.26,0.0001,100.00
43037.22453,36.75,0.0001,100.00
76989.24558,36.64,0.0001,100.00
61146.71844,36.21,0.0001,100.00
73648.21102,35.72,0.0001,100.00
10401.57273,35.34,0.0001,100.00
15696.35309,35.26,0.0001,100.00
36888.23023,34.92,0.0001,100.00
27512.51028,34.91,0.0001,100.00
68332.61741,34.41,0.0001,100.00
5368.448754,34.37,0.0001,100.00
38731.46507,34.19,0.0001,100.00
94992.44171,33.17,0.0001,100.00
98191.86268,33.07,0.0001,100.00
76649.33972,32.23,0.0001,100.00
31118.55338,32.07,0.0001,100.00
7328.011437,31.90,0.0001,100.00
95932.29197,31.03,0.0001,100.00
73991.93826,30.71,0.0001,100.00
77284.04906,30.67,0.0001,100.00
17003.45786,30.65,0.0001,100.00
67013.58459,30.16,0.0001,100.00
86427.24351,29.74,0.0001,100.00
1610.023411,29.51,0.0001,100.00
20079.17189,28.60,0.0001,100.00
62925.39261,28.00,0.0001,100.00
10159.67823,27.94,0.0001,100.00
28643.91352,27.94,0.0001,100.00
58730.32383,27.64,0.0001,100.00
15199.53512,27.61,0.0001,100.00
32713.08559,27.43,0.0001,100.00
97265.62288,27.19,0.0001,100.00
72973.15103,26.89,0.0001,100.00
84554.93203,26.57,0.0001,100.00
18495.56854,26.10,0.0001,100.00
36565.19569,26.04,0.0001,100.00
620.6222247,26.04,0.0001,100.00
1438.094411,25.93,0.0001,100.00
81266.55764,25.66,0.0001,100.00
49867.48071,25.61,0.0001,100.00
12028.39964,24.84,0.0001,100.00
26008.68048,24.58,0.0001,100.00
6729.404205,24.57,0.0001,100.00
4141.507253,24.43,0.0001,100.00
13433.72832,22.76,0.0000,100.00
30363.57703,21.75,0.0000,100.00
66097.56463,21.60,0.0000,100.00
18223.462,20.59,0.0000,100.00
92433.65716,20.27,0.0000,100.00
58978.24688,20.23,0.0000,100.00
96559.89403,19.65,0.0000,100.00
44413.41443,19.31,0.0000,100.00
98390.26878,18.93,0.0000,100.00
20920.7648,17.65,0.0000,100.00
7120.092627,17.25,0.0000,100.00
50888.71464,17.18,0.0000,100.00
88000.72498,16.98,0.0000,100.00
31914.83882,16.17,0.0000,100.00
10529.6734,15.19,0.0000,100.00
7728.237731,15.03,0.0000,100.00
64312.54785,14.77,0.0000,100.00
39358.36771,12.17,0.0000,100.00
85486.23537,11.90,0.0000,100.00
15171.17002,11.24,0.0000,100.00
30410.16398,10.99,0.0000,100.00
11634.3914,10.31,0.0000,100.00
30292.65585,10.19,0.0000,100.00
64933.26732,10.19,0.0000,100.00
59728.2109,8.47,0.0000,100.00
21326.32163,8.14,0.0000,100.00
55930.93798,8.10,0.0000,100.00
19063.58305,6.70,0.0000,100.00
48705.02696,6.61,0.0000,100.00
52859.72379,6.37,0.0000,100.00
36569.78261,6.25,0.0000,100.00
41123.51408,6.01,0.0000,100.00
9969.623746,5.46,0.0000,100.00
691.0125995,4.05,0.0000,100.00
76995.05268,3.86,0.0000,100.00
